No,Date,Time,Pick Up,Drop Off,Ride Distance (km),Vehicle Type,Pickup Date,Pickup Time,Dropoff Date,Dropoff Time,Promo Value,Fare,Paid,Jam,Menit
22,1-Oct-19,17:17:49,"Jl. Casablanca No.88, Menteng Dal, Tebet, Jakarta Selatan, 12870","Jl. Cisanggiri III No.1, RT.9/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170, Indonesia",6.5,GrabCar, 1 Oct 2019,  17:23:00 ,1-Oct-19,  17:53:50,7000,27000,7000,17,17
23,2-Oct-19,8:39:46,"Jl. Cisanggiri III No.1, RT.9/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170, Indonesia","Jl. H.R. Rasuna Said Kav. C-22 A, Karet Kuningan, Setia Budi, Jakarta Selatan, 12940",7.47,GrabCar,2-Oct-19,  8:44:43 , 2 Oct 2019,  9:15:21 ,7000,28000,7000,8,39
24,2-Oct-19,17:51:09,"Jl. H.R. Rasuna Said Kav. C-22 A, Karet Kuningan, Setia Budi, Jakarta Selatan, 12940","Jl. Cisanggiri III No.1, RT.9/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170, Indonesia",4.26,GrabBike,2-Oct-19, 17:55:55 , 2 Oct 2019,  18:08:27 ,7000,4000,7000,17,51
25,3-Oct-19,6:51:40,"Praja Dalam K Street, Jl. Praja Dalam K, Kebayoran Lama Selatan, Kebayoran Lama, No. 3-7, South Jakarta, 12240","Jl. Cisanggiri III No.1, RT.9/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170, Indonesia",15.6,GrabCar, 3 Oct 2019,  7:03:26 , 3 Oct 2019,  7:42:05 ,7000,56000,7000,6,51
26,3-Oct-19, 10:51:07,"Jl. Cipinang Baru Raya, Cipinang, Pulogadung, Jakarta Timur, 13240","Praja Dalam K Street, Jl. Praja Dalam K, Kebayoran Lama Selatan, Kebayoran Lama, No. 3-7, South Jakarta, 12240",25.81,GrabCar,3-Oct-19,10:53:37, 3 Oct 2019, 11:39:51 ,7000,95000,7000,10,51
27,3-Oct-19,15:38:12,"Praja Dalam K Street, Jl. Praja Dalam K, Kebayoran Lama Selatan, Kebayoran Lama, No. 3-7, South Jakarta, 12240","Jl. Raya Cilandak Kko, Cilandak Timur, Pasar Minggu, Jakarta Selatan, 12560",6.04,GrabCar,3-Oct-19, 15:44:26 ,3-Oct-19,  16:15:50 ,7000,28000,7000,15,38
28,3-Oct-19,16:33:44,"Jl. Raya Cilandak Kko, Cilandak Timur, Pasar Minggu, Jakarta Selatan, 12560","Jl. Cisanggiri III No.1, RT.9/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170, Indonesia",9.68,GrabCar,3-Oct-19,  16:38:30 , 3 Oct 2019, 17:26:46,7000,43000,7000,16,33
29,4-Oct-19,7:22:03,"Praja Dalam K Street, Jl. Praja Dalam K, Kebayoran Lama Selatan, Kebayoran Lama, No. 3-7, South Jakarta, 12240","Jl. Cisanggiri III No.1, RT.9/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170, Indonesia",15.53,GrabCar,4-Oct-19, 7:30:38 , 4 Oct 2019,  7:58:40 ,0,62000,62000,7,22
30,4-Oct-19, 12:11:13,"Jl. H.R. Rasuna Said Kav. C-22 A, Karet Kuningan, Setia Budi, Jakarta Selatan, 12940","Jl. Casablanca No.88, Jakarta Selatan, Tebet, Menteng Dal, Jakarta Selatan, 12870",1.79,GrabCar,4-Oct-19, 12:22:05 ,4-Oct-19, 12:26:48 ,0,17000,17000,12,11
31,4-Oct-19,18:56:53,"Jl. Cisanggiri III No.1, RT.9/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170, Indonesia","Praja Dalam K Street, Jl. Praja Dalam K, Kebayoran Lama Selatan, Kebayoran Lama, No. 3-7, South Jakarta, 12240",15.7,GrabCar,4-Oct-19, 19:11:52 ,4-Oct-19, 20:08:10 ,0,88000,88000,18,56
32,7-Oct-19,7:04:05,"Praja Dalam K Street, Jl. Praja Dalam K, Kebayoran Lama Selatan, Kebayoran Lama, No. 3-7, South Jakarta, 12240","Jl. Cisanggiri III No.1, RT.9/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170, Indonesia",15.25,GrabCar,7-Oct-19, 7:11:55 , 7 Oct 2019,  7:53:26 ,0,57000,57000,7,4
33,7-Oct-19,20:17:37,"Jl. Jendral Sudirman Kav.58, Karet Semanggi, Senayan, Jakarta Selatan, 10270","Praja Dalam K Street, Jl. Praja Dalam K, Kebayoran Lama Selatan, Kebayoran Lama, No. 3-7, South Jakarta, 12240",17.63,GrabCar, 7 Oct 2019, 20:24:59 ,7-Oct-19,  21:08:51 ,0,65000,65000,20,17
34,8-Oct-19,7:10:29,"Praja Dalam K Street, Jl. Praja Dalam K, Kebayoran Lama Selatan, Kebayoran Lama, No. 3-7, South Jakarta, 12240","Jl. Cisanggiri III No.1, RT.9/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170, Indonesia",15.27,GrabCar,8-Oct-19,  7:20:10 ,8-Oct-19, 7:59:56 ,0,57000,57000,7,10
35,8-Oct-19,18:12:10,"Jl. Cisanggiri III No.1, RT.9/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170, Indonesia","Praja Dalam K Street, Jl. Praja Dalam K, Kebayoran Lama Selatan, Kebayoran Lama, No. 3-7, South Jakarta, 12240",15.69,GrabCar, 8 Oct 2019, 18:18:33 ,8-Oct-19,  19:11:25 ,0,68000,68000,18,12
36,9-Oct-19,7:14:29,"Praja Dalam K Street, Jl. Praja Dalam K, Kebayoran Lama Selatan, Kebayoran Lama, No. 3-7, South Jakarta, 12240","Jl. Cisanggiri III No.1, RT.9/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170, Indonesia",15.28,GrabCar, 9 Oct 2019,  7:18:13 ,9-Oct-19, 8:04:46 ,0,57000,57000,7,14
